country_code,country_name,sector_code,sector_name,wits_supported,measurement_basis,primary_source
SOM,Somalia,MAN,Manufacturing,True,Merchandise trade product groups,WITS
SOM,Somalia,LOG,Logistics,False,Requires logistics or services data,Source required
SOM,Somalia,RET,Retail,False,Requires retail or services data,Source required
SOM,Somalia,PHA,Pharma,True,Pharmaceutical product trade,WITS
SOM,Somalia,TEC,Technology,True,Technology-related product trade,WITS
SOM,Somalia,CON,Construction,False,Requires construction-sector data,Source required
SSD,South Sudan,MAN,Manufacturing,True,Merchandise trade product groups,WITS
SSD,South Sudan,LOG,Logistics,False,Requires logistics or services data,Source required
SSD,South Sudan,RET,Retail,False,Requires retail or services data,Source required
SSD,South Sudan,PHA,Pharma,True,Pharmaceutical product trade,WITS
SSD,South Sudan,TEC,Technology,True,Technology-related product trade,WITS
SSD,South Sudan,CON,Construction,False,Requires construction-sector data,Source required
TZA,Tanzania,MAN,Manufacturing,True,Merchandise trade product groups,WITS
TZA,Tanzania,LOG,Logistics,False,Requires logistics or services data,Source required
TZA,Tanzania,RET,Retail,False,Requires retail or services data,Source required
TZA,Tanzania,PHA,Pharma,True,Pharmaceutical product trade,WITS
TZA,Tanzania,TEC,Technology,True,Technology-related product trade,WITS
TZA,Tanzania,CON,Construction,False,Requires construction-sector data,Source required
UGA,Uganda,MAN,Manufacturing,True,Merchandise trade product groups,WITS
UGA,Uganda,LOG,Logistics,False,Requires logistics or services data,Source required
UGA,Uganda,RET,Retail,False,Requires retail or services data,Source required
UGA,Uganda,PHA,Pharma,True,Pharmaceutical product trade,WITS
UGA,Uganda,TEC,Technology,True,Technology-related product trade,WITS
UGA,Uganda,CON,Construction,False,Requires construction-sector data,Source required
ZMB,Zambia,MAN,Manufacturing,True,Merchandise trade product groups,WITS
ZMB,Zambia,LOG,Logistics,False,Requires logistics or services data,Source required
ZMB,Zambia,RET,Retail,False,Requires retail or services data,Source required
ZMB,Zambia,PHA,Pharma,True,Pharmaceutical product trade,WITS
ZMB,Zambia,TEC,Technology,True,Technology-related product trade,WITS
ZMB,Zambia,CON,Construction,False,Requires construction-sector data,Source required
ZWE,Zimbabwe,MAN,Manufacturing,True,Merchandise trade product groups,WITS
ZWE,Zimbabwe,LOG,Logistics,False,Requires logistics or services data,Source required
ZWE,Zimbabwe,RET,Retail,False,Requires retail or services data,Source required
ZWE,Zimbabwe,PHA,Pharma,True,Pharmaceutical product trade,WITS
ZWE,Zimbabwe,TEC,Technology,True,Technology-related product trade,WITS
ZWE,Zimbabwe,CON,Construction,False,Requires construction-sector data,Source required
